0|tn-za_google|1932
1|tn-za_google|0045
2|tn-za_google|3342
3|tn-za_google|4850
4|tn-za_google|6206
5|tn-za_google|3629
6|tn-za_google|9061
7|tn-za_google|6116
8|tn-za_google|7674
9|tn-za_google|0378
10|tn-za_google|5628
11|tn-za_google|8333
12|tn-za_google|8512
13|tn-za_google|0441
14|tn-za_google|6459
15|tn-za_google|4506
16|tn-za_google|7866
17|tn-za_google|8532
18|tn-za_google|2839
19|tn-za_google|7896
20|tn-za_google|1498
21|tn-za_google|1483
22|tn-za_google|8914
23|tn-za_google|6234
24|tn-za_google|9365
25|tn-za_google|7693
